OID_,YEAR,PRIMARY_SAMPLE_UNIT,ADMIN,PROT,MAPGRID_NR,STRAT,DEPTH_STRAT,lat,lon,NoTake
176,2025,4221,BUIS,0,363716,AGRFDEEP,DEEP,17.779669999999999,-64.596080000000001,0
177,2025,4222,EEMP,0,339566,PVMTDEEP,DEEP,17.769860000000001,-64.572109999999995,0
178,2025,4226,EEMP,0,342974,AGRFDEEP,DEEP,17.771699999999999,-64.521190000000004,0
179,2025,4227,EEMP,0,251618,SCRDEEP,DEEP,17.733830000000001,-64.547550000000001,0
180,2025,4228,OPEN,0,411266,PTRFDEEP,DEEP,17.800170000000001,-64.478420000000000,0
181,2025,4230,OPEN,0,3174164,AGRFDEEP,DEEP,17.817640000000001,-64.525350000000003,0
182,2025,4231,OPEN,0,414558,AGRFDEEP,DEEP,17.801200000000001,-64.481920000000002,0
183,2025,4232,OPEN,0,401367,AGRFDEEP,DEEP,17.795950000000001,-64.477800000000002,0
184,2025,4233,OPEN,0,457385,PVMTDEEP,DEEP,17.818780000000000,-64.516369999999995,0
185,2025,4234,OPEN,0,217891,PVMTDEEP,DEEP,17.717490000000002,-64.890110000000007,0
186,2025,4236,SARI,0,393081,PVMTDEEP,DEEP,17.790330000000001,-64.753860000000003,0
187,2025,4237,OPEN,0,90509,PVMTDEEP,DEEP,17.665929999999999,-64.786919999999995,0
188,2025,4238,OPEN,0,105942,PVMTDEEP,DEEP,17.672590000000000,-64.771349999999998,0
189,2025,4239,OPEN,0,109252,SCRDEEP,DEEP,17.673970000000001,-64.766760000000005,0
190,2025,4241,OPEN,0,105937,SCRDEEP,DEEP,17.672380000000000,-64.773799999999994,0
191,2025,4242,BUIS,0,395556,AGRFSHLW,SHLW,17.792700000000000,-64.624170000000007,0
192,2025,4244,BUIS,0,392227,SCRSHLW,SHLW,17.790959999999998,-64.638120000000001,0
193,2025,4247,OPEN,0,328005,SCRSHLW,SHLW,17.763030000000001,-64.836489999999998,0
194,2025,4248,OPEN,0,100380,PVMTSHLW,SHLW,17.669910000000002,-64.800250000000005,0
195,2025,4249,OPEN,0,76132,PVMTSHLW,SHLW,17.659739999999999,-64.822940000000003,0
196,2025,4250,BUIS,0,371365,AGRFSHLW,SHLW,17.782380000000000,-64.620189999999994,0
197,2025,4258,OPEN,0,269574,AGRFDEEP,DEEP,17.738650000000000,-64.898309999999995,0
198,2025,4259,OPEN,0,3063999,PVMTDEEP,DEEP,17.763809999999999,-64.890450000000001,0
199,2025,4262,OPEN,0,273974,AGRFDEEP,DEEP,17.740330000000000,-64.898340000000005,0
200,2025,4279,OPEN,0,28806,AGRFDEEP,DEEP,17.640190000000000,-64.835189999999997,0
201,2025,4283,BUIS,0,373570,AGRFSHLW,SHLW,17.783560000000001,-64.617679999999993,0
202,2025,4286,EEMP,0,3054093,PTRFSHLW,SHLW,17.759519999999998,-64.591510000000000,0
203,2025,4288,EEMP,0,324096,AGRFSHLW,SHLW,17.763249999999999,-64.604990000000001,0
204,2025,4290,EEMP,0,329567,AGRFSHLW,SHLW,17.765329999999999,-64.618759999999995,1
205,2025,4293,OPEN,0,308498,AGRFSHLW,SHLW,17.756200000000000,-64.698599999999999,0
206,2025,4301,EEMP,0,322883,BDRKSHLW,SHLW,17.762480000000000,-64.658490000000000,1
207,2025,4314,BUIS,0,399991,PTRFDEEP,DEEP,17.794440000000002,-64.607910000000004,0
208,2025,4315,BUIS,0,373584,PTRFDEEP,DEEP,17.783740000000002,-64.611000000000004,0
209,2025,4316,BUIS,0,385706,PTRFDEEP,DEEP,17.788560000000000,-64.600859999999997,0
210,2025,4317,BUIS,0,361517,AGRFDEEP,DEEP,17.778800000000000,-64.595269999999999,0
211,2025,4318,BUIS,0,398894,SCRDEEP,DEEP,17.793959999999998,-64.606489999999994,0
212,2025,4320,BUIS,0,404386,PTRFDEEP,DEEP,17.796260000000000,-64.610420000000005,0
213,2025,4321,BUIS,0,370299,PTRFDEEP,DEEP,17.782450000000001,-64.603970000000004,0
