"YEAR","PRIMARY_SAMPLE_UNIT","ADMIN","PROT","MAPGRID_NR","STRAT","DEPTH_STRAT","lat","lon"
2025,4321,"BUIS",0,370299,"PTRFDEEP","DEEP",17.78245,-64.60397
2025,4323,"EEMP",0,336181,"PTRFDEEP","DEEP",17.76818,-64.61217
2025,4330,"BUIS",0,408785,"PTRFSHLW","SHLW",17.79787,-64.61079
2025,4332,"BUIS",0,388967,"PTRFSHLW","SHLW",17.78965,-64.61894
2025,4333,"BUIS",0,410975,"AGRFSHLW","SHLW",17.79893,-64.61548
2025,4334,"BUIS",0,404347,"AGRFSHLW","SHLW",17.79616,-64.62862
2025,4336,"BUIS",0,406589,"PVMTSHLW","SHLW",17.79712,-64.60893
2025,4338,"EEMP",0,327428,"PTRFSHLW","SHLW",17.76479,-64.59024
2025,4341,"OPEN",0,72796,"AGRFSHLW","SHLW",17.65801,-64.84003
2025,4343,"OPEN",0,77239,"PTRFSHLW","SHLW",17.6604,-64.8197
2025,4344,"BUIS",0,435134,"PVMTDEEP","DEEP",17.8088,-64.63477
2025,4345,"BUIS",0,409939,"AGRFDEEP","DEEP",17.79872,-64.58527
2025,4346,"BUIS",0,427479,"PVMTDEEP","DEEP",17.80587,-64.61338
2025,4347,"BUIS",0,431875,"AGRFDEEP","DEEP",17.80741,-64.61542
2025,4349,"BUIS",0,435145,"AGRFDEEP","DEEP",17.80876,-64.62986
2025,4350,"BUIS",0,371378,"PTRFDEEP","DEEP",17.78266,-64.61395
2025,4351,"BUIS",0,423026,"AGRFDEEP","DEEP",17.80389,-64.63864
2025,4353,"BUIS",0,430735,"PVMTDEEP","DEEP",17.8068,-64.63436
2025,4354,"BUIS",0,402260,"PVMTDEEP","DEEP",17.79567,-64.57548
2025,4355,"BUIS",0,423101,"AGRFDEEP","DEEP",17.80409,-64.60341
2025,4357,"BUIS",0,436244,"PVMTDEEP","DEEP",17.80922,-64.63003
